iter	Passed	Remaining
669	3203	20701
670	3208	20703
671	3217	20721
672	3227	20753
673	3235	20766
674	3246	20799
675	3253	20811
676	3261	20827
677	3268	20834
678	3275	20845
679	3281	20845
680	3287	20847
681	3294	20859
682	3300	20862
683	3307	20870
684	3313	20875
685	3320	20881
686	3326	20880
687	3331	20882
688	3337	20884
689	3343	20885
690	3348	20882
691	3355	20886
692	3360	20887
693	3365	20879
694	3371	20882
695	3377	20888
696	3383	20887
697	3389	20889
698	3395	20891
699	3401	20897
700	3408	20902
701	3413	20901
702	3419	20902
703	3425	20901
704	3431	20908
705	3437	20910
706	3443	20910
707	3449	20911
708	3454	20909
709	3460	20906
710	3465	20907
711	3472	20912
712	3477	20908
713	3484	20917
714	3490	20916
715	3495	20917
716	3501	20917
717	3507	20917
718	3513	20919
719	3519	20920
720	3524	20915
721	3530	20921
722	3537	20924
723	3541	20918
724	3547	20916
725	3552	20914
726	3557	20909
727	3562	20905
728	3568	20907
729	3574	20905
730	3579	20904
731	3584	20899
732	3589	20895
733	3594	20892
734	3601	20898
735	3605	20890
736	3612	20894
737	3616	20886
738	3622	20888
739	3630	20897
740	3636	20899
741	3642	20905
742	3647	20900
743	3652	20892
744	3658	20893
745	3664	20897
746	3669	20891
747	3675	20892
748	3680	20886
749	3684	20879
750	3690	20880
751	3697	20884
752	3702	20883
753	3708	20885
754	3713	20877
755	3717	20867
756	3724	20875
757	3731	20880
758	3738	20888
759	3743	20882
760	3747	20874
761	3754	20882
762	3762	20893
763	3771	20911
764	3777	20912
765	3783	20915
766	3790	20918
767	3797	20925
768	3806	20941
769	3812	20944
770	3820	20953
771	3829	20974
772	3839	20997
773	3845	20994
774	3851	20998
775	3858	21004
776	3865	21010
777	3873	21018
778	3878	21014
779	3885	21018
780	3891	21021
781	3897	21022
782	3903	21024
783	3908	21018
784	3914	21016
785	3921	21022
786	3926	21019
787	3933	21024
788	3938	21020
789	3943	21017
790	3949	21016
791	3954	21012
792	3960	21010
793	3966	21009
794	3970	21002
795	3975	20997
796	3981	20997
797	3987	20997
798	3994	21003
799	4000	21000
800	4005	21000
801	4011	20999
802	4020	21013
803	4027	21020
804	4034	21026
805	4041	21030
806	4047	21030
807	4052	21023
808	4058	21023
809	4065	21032
810	4071	21029
811	4078	21035
